nbModules	nbMessages	time	nbAddCuts
 502	 25121	5400450	 9
 1096	 58354	7370452	 12
 1764	 99737	9631370	 12
 2716	 147434	9918430	 12
 3955	 220387	13278270	 12
 5965	 319308	14316730	 14
 8452	 484123	16457060	 12
 10474	 592723	19081703	 14
 13412	 733269	19737126	 12
 17253	 1092748	29664419	 19
