nbModules	nbMessages	time	nbAddCuts
 502	 16576	2401281	 3
 1096	 39771	3120088	 4
 1764	 64186	3533983	 3
 2716	 94875	3766458	 3
 3955	 148360	5251660	 4
 5965	 213299	5542333	 3
 8452	 334009	6903435	 3
 10474	 419394	7853995	 4
 13412	 537591	8625079	 4
 17253	 702132	9963013	 4
 20412	 805548	9616936	 3
