nbModules	nbMessages	time	nbAddCuts
 502	 15991	2222540	 3
 1096	 38523	3013708	 4
 1764	 63093	3916407	 4
 2716	 98704	4285658	 4
 3955	 141597	5742448	 5
 5965	 217866	6101066	 4
 8452	 331014	7948132	 5
 10474	 398604	7367713	 3
 13412	 546041	9365793	 6
 17253	 694611	11397555	 6
 20412	 848509	12538121	 7
