nbModules	nbMessages	time	nbAddCuts
 738	 36718	251676	 4
 1378	 72192	383224	 4
 2344	 121841	474716	 3
 3906	 211876	565156	 5
 5634	 321650	806220	 6
 8291	 472705	780600	 5
 11493	 701836	919568	 5
 14787	 820276	883816	 4
 19157	 1132959	1264460	 6
 24717	 1464429	1290056	 5
 30023	 1801527	1431168	 5
