nbModules	nbMessages	time	nbAddCuts
 738	 51182	559340	 7
 1378	 97822	834144	 8
 2344	 188527	1407080	 13
 3906	 319175	1491092	 15
 5634	 449194	1762724	 14
 8291	 503276	1139724	 14
 11493	 930600	2132848	 14
 14787	 1176369	2241176	 12
 19157	 1658227	2802764	 14
 24717	 1652102	2212304	 14
 30023	 2650795	4473776	 17
