nbModules	nbMessages	time	nbAddCuts
 738	 33847	200556	 2
 1378	 68685	341256	 2
 2344	 119492	463396	 3
 3906	 220739	558036	 5
 5634	 289975	558308	 3
 8291	 456232	871936	 5
 11493	 696149	874524	 6
 14787	 869679	1008980	 5
 19157	 1109144	979664	 4
 24717	 1409644	1288448	 4
 30023	 1811538	1640600	 5
