nbModules	nbMessages	time	nbAddCuts
 738	 47515	534412	 9
 1378	 94596	866596	 9
 2344	 182468	1434816	 16
 3906	 291817	1433276	 17
 5634	 407733	1597912	 14
 8291	 627775	2046572	 15
 11493	 880742	2078384	 14
 14787	 1104127	2175268	 14
 19157	 1469846	2727024	 15
 24717	 1986537	3543932	 17
 30023	 2306262	3247172	 14
