nbModules	nbMessages	time	nbAddCuts
 1331	 72142	4709674	0
 1859	 105682	6308136	 18
 1859	 105682	6308136	0
 4096	 219328	7068612	 11
 5832	 328017	9787849	 17
 9261	 464517	8363038	 10
 12167	 638964	10273180	 14
 15625	 858456	12801969	 14
 21952	 1145813	15104600	 13
 29791	 1661369	16456110	 14
