nbModules	nbMessages	time		nbAddCuts
650	 	44084		468052	8
1500	 	104738		586808	10
2500	 	185761		843824	11
5000	 	381173		1690380	9
8500	 	658085		1654112	15
10000	739283		1552640	9
13000	953324		1733156	10
15000	1107786		1967492	10
20000	1484874		1511604	9
25000	1880263		1785492	10
30000	2386429		2396192	14
