nbModules	nbMessages	time		nbAddCuts
650	 	47040		456248	7
1500	 	110798		639628	8
2500	 	194427		914728	10
5000	 	394088		1214316	10
8500	 	686411		1668588	11
10000	776573		1774356	10
13000	1043190		1444200	10
15000	1201053		2193688	12
20000	1753118		3507992	11
25000	2009146		2116384	12
30000	2529301		3133248	11
