nbModules	nbMessages	time		nbAddCuts
650	 	45279		477620	5
1500	 	118744		783560	10
2500	 	195825		919320	10
5000	 	390529		1500556	9
8500	 	714620		1902220	12
10000	846433		1949908	12
13000	1037060		1738764	10
15000	1225285		2530240	10
20000	1553410		1661036	7
25000	1937157		1725732	10
30000	2452622		2721320	10
