nbModules	nbMessages	time		nbAddCuts
650	 	42520		386908	7
1500	 	110602		666476	13
2500	 	178761		860356	11
5000	 	381490		1185220	14
8500	 	637330		1522512	13
10000	775162		1565496	13
13000	939519		1268700	8
15000	1209836		2244080	13
20000	1540831		2522024	10
25000	1906890		2150036	14
30000	2324561		2527060	11
