nbModules	nbMessages	time		nbAddCuts
650		49574		609828	9
1500	 	110625		795180	8
2500	 	191909		1042360	11
5000		419351		1993636	10
8500	 	710117		1662164	12
10000	794521		1867856	12
13000	1009311		1738148	10
15000	1175027		2235132	10
20000	1616053		2456076	11
25000	2040580		2447384	12
30000	2380597		2070828	10
