nbModules	nbMessages	time		nbAddCuts
650	 	46768		463652	10
1500	 	107572		748932	10
2500	 	184204		1040824	13
5000		378891		1496792	11
8500	 	654805		1388648	13
10000	754579		1636832	13
13000	964538		1690612	12
15000	1140007		2135352	11
20000	1627540		2544432	14
25000	1941930		2387308	11
30000	2230565		1991232	11

