nbModules	nbMessages	time		nbAddCuts
650	 	35347		228160	4
1500	 	78095		365116	3
2500		132642		357136	4
5000		275299		537804	3
8500	 	479038		605448	4
10000	570057		640568	4
13000	757478		842420	5
15000	852449		806056	3
20000	1132500		940876	3
25000	1502771		898560	4
30000	1734628		770604	3







