nbModules	nbMessages	time		nbAddCuts
650		47298		514565	7
1500		129155		910978	11
2500		237105		1262462	14
5000		480358		1990323	14
8500		863835		2407765	16
10000	1093787		2666628	17
13000	1394449		2529247	16
15000	1665271		3162769	16
20000	2195951		3595958	15
25000	2727611		3295153	16
30000	3363377		3740183	16
