config_file,diameter,num_messages,num_robots,occupancy,real_diameter,simulator_time_us,trial
random_100_20_0.xml,14,2369,100,20,14,225494,0
random_100_20_1.xml,12,2475,100,20,12,187500,1
random_100_20_2.xml,12,2330,100,20,12,185979,2
random_100_20_3.xml,11,2554,100,20,11,182988,3
random_100_20_4.xml,11,2442,100,20,11,190653,4
random_100_20_5.xml,13,2431,100,20,13,214979,5
random_100_20_6.xml,13,2428,100,20,13,199557,6
random_100_20_7.xml,11,2360,100,20,12,185918,7
random_100_20_8.xml,13,2509,100,20,13,205754,8
random_100_20_9.xml,10,2503,100,20,11,173806,9
random_100_40_0.xml,15,2401,100,40,15,234731,0
random_100_40_1.xml,14,2400,100,40,14,216378,1
random_100_40_2.xml,13,2378,100,40,13,196572,2
random_100_40_3.xml,14,2335,100,40,14,214910,3
random_100_40_4.xml,12,2396,100,40,12,192110,4
random_100_40_5.xml,11,2376,100,40,11,181311,5
random_100_40_6.xml,11,2664,100,40,11,175229,6
random_100_40_7.xml,12,2283,100,40,13,191985,7
random_100_40_8.xml,11,2486,100,40,11,169072,8
random_100_40_9.xml,12,2584,100,40,12,188907,9
random_100_60_0.xml,10,2534,100,60,12,169209,0
random_100_60_1.xml,12,2538,100,60,12,198045,1
random_100_60_2.xml,11,2679,100,60,12,181365,2
random_100_60_3.xml,12,2443,100,60,12,198224,3
random_100_60_4.xml,11,2681,100,60,11,189025,4
random_100_60_5.xml,12,2521,100,60,12,193516,5
random_100_60_6.xml,11,2476,100,60,12,196545,6
random_100_60_7.xml,9,2620,100,60,11,181358,7
random_100_60_8.xml,12,2572,100,60,12,196581,8
random_100_60_9.xml,12,2634,100,60,12,202705,9
random_100_80_0.xml,12,2889,100,80,12,193531,0
random_100_80_1.xml,10,2858,100,80,12,187575,1
random_100_80_2.xml,12,2841,100,80,12,198065,2
random_100_80_3.xml,11,2837,100,80,11,176741,3
random_100_80_4.xml,11,2855,100,80,11,176698,4
random_100_80_5.xml,11,2951,100,80,11,185980,5
random_100_80_6.xml,11,2953,100,80,12,188964,6
random_100_80_7.xml,12,2714,100,80,12,193585,7
random_100_80_8.xml,11,2906,100,80,12,195005,8
random_100_80_9.xml,11,2920,100,80,12,181326,9
random_150_20_0.xml,12,3854,150,20,16,202735,0
random_150_20_1.xml,13,3987,150,20,14,222539,1
random_150_20_2.xml,13,3807,150,20,14,204144,2
random_150_20_3.xml,15,3717,150,20,15,237632,3
random_150_20_4.xml,14,3938,150,20,14,219446,4
random_150_20_5.xml,13,3985,150,20,13,208853,5
random_150_20_6.xml,13,3919,150,20,13,214878,6
random_150_20_7.xml,11,4045,150,20,12,195194,7
random_150_20_8.xml,13,3790,150,20,13,195025,8
random_150_20_9.xml,14,3857,150,20,15,220911,9
random_150_40_0.xml,15,4142,150,40,15,216226,0
random_150_40_1.xml,16,4022,150,40,16,245184,1
random_150_40_2.xml,14,4016,150,40,14,217857,2
random_150_40_3.xml,15,4114,150,40,15,234712,3
random_150_40_4.xml,13,3617,150,40,14,215014,4
random_150_40_5.xml,18,3807,150,40,18,294223,5
random_150_40_6.xml,17,3879,150,40,17,257487,6
random_150_40_7.xml,15,3925,150,40,15,233189,7
random_150_40_8.xml,15,3810,150,40,15,234575,8
random_150_40_9.xml,14,3924,150,40,14,230093,9
random_150_60_0.xml,12,4302,150,60,13,207189,0
random_150_60_1.xml,13,4159,150,60,13,204098,1
random_150_60_2.xml,12,4126,150,60,14,208645,2
random_150_60_3.xml,15,4148,150,60,15,233045,3
random_150_60_4.xml,12,4153,150,60,12,184333,4
random_150_60_5.xml,12,4092,150,60,14,198096,5
random_150_60_6.xml,14,4355,150,60,14,228524,6
random_150_60_7.xml,12,4177,150,60,13,216366,7
random_150_60_8.xml,15,4020,150,60,15,233075,8
random_150_60_9.xml,15,4018,150,60,15,239186,9
random_150_80_0.xml,14,4526,150,80,14,217805,0
random_150_80_1.xml,15,4177,150,80,15,234565,1
random_150_80_2.xml,14,4468,150,80,14,236197,2
random_150_80_3.xml,13,4463,150,80,13,214830,3
random_150_80_4.xml,11,4493,150,80,13,204241,4
random_150_80_5.xml,13,4431,150,80,13,219452,5
random_150_80_6.xml,13,4445,150,80,15,211696,6
random_150_80_7.xml,9,4307,150,80,14,217911,7
random_150_80_8.xml,14,4403,150,80,14,236188,8
random_150_80_9.xml,14,4512,150,80,14,222510,9
random_200_20_0.xml,13,5473,200,20,14,219410,0
random_200_20_1.xml,14,5334,200,20,16,240863,1
random_200_20_2.xml,15,5607,200,20,15,236205,2
random_200_20_3.xml,17,5302,200,20,17,245214,3
random_200_20_4.xml,15,5416,200,20,15,246888,4
random_200_20_5.xml,15,5383,200,20,15,237743,5
random_200_20_6.xml,13,5489,200,20,14,210327,6
random_200_20_7.xml,17,5276,200,20,17,265149,7
random_200_20_8.xml,15,5446,200,20,16,245435,8
random_200_20_9.xml,14,5429,200,20,15,236245,9
random_200_40_0.xml,14,5602,200,40,15,217924,0
random_200_40_1.xml,16,5626,200,40,16,260623,1
random_200_40_2.xml,14,5588,200,40,14,231727,2
random_200_40_3.xml,18,5678,200,40,18,274247,3
random_200_40_4.xml,17,5575,200,40,17,254459,4
random_200_40_5.xml,14,5586,200,40,14,222460,5
random_200_40_6.xml,16,5734,200,40,16,242217,6
random_200_40_7.xml,15,5512,200,40,15,248380,7
random_200_40_8.xml,16,5818,200,40,16,254438,8
random_200_40_9.xml,17,5599,200,40,17,286628,9
random_200_60_0.xml,14,5988,200,60,15,236193,0
random_200_60_1.xml,13,5909,200,60,14,233147,1
random_200_60_2.xml,12,5950,200,60,14,202713,2
random_200_60_3.xml,13,5796,200,60,14,224168,3
random_200_60_4.xml,14,5939,200,60,17,231628,4
random_200_60_5.xml,14,6099,200,60,15,231637,5
random_200_60_6.xml,16,5722,200,60,16,265167,6
random_200_60_7.xml,14,5845,200,60,14,228566,7
random_200_60_8.xml,16,6026,200,60,16,260631,8
random_200_60_9.xml,13,5927,200,60,15,237752,9
random_200_80_0.xml,14,5798,200,80,16,236219,0
random_200_80_1.xml,13,5860,200,80,15,224090,1
random_200_80_2.xml,18,5918,200,80,18,289443,2
random_200_80_3.xml,10,5970,200,80,14,209059,3
random_200_80_4.xml,14,5829,200,80,15,234569,4
random_200_80_5.xml,13,5782,200,80,15,237757,5
random_200_80_6.xml,12,6050,200,80,14,220971,6
random_200_80_7.xml,16,5878,200,80,16,246735,7
random_200_80_8.xml,16,5928,200,80,16,251436,8
random_200_80_9.xml,16,5848,200,80,16,248245,9
random_250_20_0.xml,17,7099,250,20,17,258987,0
random_250_20_1.xml,17,6814,250,20,17,268232,1
random_250_20_2.xml,16,6892,250,20,17,260660,2
random_250_20_3.xml,18,6880,250,20,18,274234,3
random_250_20_4.xml,14,7131,250,20,16,256126,4
random_250_20_5.xml,14,6934,250,20,17,226998,5
random_250_20_6.xml,16,6735,250,20,18,263729,6
random_250_20_7.xml,16,6899,250,20,17,278939,7
random_250_20_8.xml,16,6828,250,20,16,260569,8
random_250_20_9.xml,14,6997,250,20,16,227043,9
random_250_40_0.xml,15,7051,250,40,15,262180,0
random_250_40_1.xml,18,7027,250,40,18,303227,1
random_250_40_2.xml,15,7176,250,40,16,243704,2
random_250_40_3.xml,15,7145,250,40,15,233186,3
random_250_40_4.xml,16,7004,250,40,16,260603,4
random_250_40_5.xml,15,7163,250,40,15,252984,5
random_250_40_6.xml,18,7178,250,40,18,261885,6
random_250_40_7.xml,16,7148,250,40,17,249956,7
random_250_40_8.xml,14,7115,250,40,15,254505,8
random_250_40_9.xml,17,7149,250,40,17,261955,9
random_250_60_0.xml,13,7461,250,60,17,228663,0
random_250_60_1.xml,16,7374,250,60,16,278902,1
random_250_60_2.xml,14,7478,250,60,15,227020,2
random_250_60_3.xml,15,7480,250,60,17,236124,3
random_250_60_4.xml,14,7164,250,60,17,259103,4
random_250_60_5.xml,14,7336,250,60,17,245314,5
random_250_60_6.xml,16,7548,250,60,16,257481,6
random_250_60_7.xml,16,7405,250,60,16,269721,7
random_250_60_8.xml,16,6973,250,60,16,265137,8
random_250_60_9.xml,14,7719,250,60,15,231645,9
random_250_80_0.xml,15,7863,250,80,17,239202,0
random_250_80_1.xml,16,7630,250,80,17,278905,1
random_250_80_2.xml,14,7607,250,80,18,236237,2
random_250_80_3.xml,15,7754,250,80,15,252975,3
random_250_80_4.xml,14,8026,250,80,16,254507,4
random_250_80_5.xml,15,7722,250,80,16,252963,5
random_250_80_6.xml,15,7737,250,80,16,248391,6
random_250_80_7.xml,17,7550,250,80,17,281883,7
random_250_80_8.xml,15,7817,250,80,16,248380,8
random_250_80_9.xml,16,7596,250,80,17,254444,9
random_300_20_0.xml,16,8811,300,20,16,246859,0
random_300_20_1.xml,17,8659,300,20,18,283444,1
random_300_20_2.xml,17,8448,300,20,17,272831,2
random_300_20_3.xml,16,8511,300,20,16,269857,3
random_300_20_4.xml,14,8600,300,20,18,242327,4
random_300_20_5.xml,17,8497,300,20,17,277310,5
random_300_20_6.xml,17,8320,300,20,17,269686,6
random_300_20_7.xml,19,8210,300,20,19,286398,7
